actorid,address,amount,city,country,lastupdateactor,replacementcost,lastnameactor,customerid,inventoryid,length,rentduration,custompayment,districtaddess,lastnamecustom,countrycustomer
,,3.99,,,,,,,1651,,,212,,,
,,2.99,,,,,,,1652,,,212,,,
,,5.99,,,,,,,1652,,,212,,,
,,4.99,,,,,,,1652,,,212,,,
,,2.99,,,,,,,1652,,,212,,,
,,0.99,,,,,,,1653,,,213,,,
,,0.99,,,,,,,1653,,,213,,,
,,4.99,,,,,,,1653,,,213,,,
,,5.99,,,,,,,1654,,,213,,,
,,0.99,,,,,,,1654,,,213,,,
,,6.99,,,,,,,1654,,,213,,,
,,4.99,,,,,,,1654,,,213,,,
,,4.99,,,,,,,1655,,,213,,,
,,2.99,,,,,,,1655,,,213,,,
,,2.99,,,,,,,1655,,,213,,,
,,4.99,,,,,,,1655,,,213,,,
,,4.99,,,,,,,1655,,,213,,,
,,8.99,,,,,,,1656,,,213,,,
,,4.99,,,,,,,1656,,,213,,,
,,0.99,,,,,,,1656,,,213,,,
,,2.99,,,,,,,1656,,,213,,,
,,0.99,,,,,,,1657,,,213,,,
,,2.99,,,,,,,1657,,,213,,,
,,4.99,,,,,,,1657,,,213,,,
,,6.99,,,,,,,1657,,,213,,,
,,2.99,,,,,,,1658,,,213,,,
,,4.99,,,,,,,1658,,,213,,,
,,2.99,,,,,,,1659,,,213,,,
,,3.99,,,,,,,1659,,,213,,,
,,4.99,,,,,,,1660,,,213,,,
,,0.99,,,,,,,1660,,,213,,,
,,6.99,,,,,,,1660,,,213,,,
,,2.99,,,,,,,1661,,,213,,,
,,1.99,,,,,,,1661,,,214,,,
,,3.99,,,,,,,1661,,,214,,,
,,2.99,,,,,,,1661,,,214,,,
,,2.99,,,,,,,1662,,,214,,,
,,0.99,,,,,,,1662,,,214,,,
,,4.99,,,,,,,1662,,,214,,,
,,2.99,,,,,,,1662,,,214,,,
,,2.99,,,,,,,1662,,,214,,,
,,0.99,,,,,,,1663,,,214,,,
,,3.99,,,,,,,1663,,,214,,,
,,3.99,,,,,,,1664,,,214,,,
,,2.99,,,,,,,1664,,,214,,,
,,7.99,,,,,,,1665,,,214,,,
,,4.99,,,,,,,1665,,,214,,,
,,5.99,,,,,,,1665,,,214,,,
,,4.99,,,,,,,1666,,,214,,,
,,3.99,,,,,,,1666,,,214,,,
,,4.99,,,,,,,1666,,,214,,,
,,2.99,,,,,,,1666,,,214,,,
,,4.99,,,,,,,1667,,,214,,,
,,4.99,,,,,,,1667,,,214,,,
,,2.99,,,,,,,1668,,,214,,,
,,9.99,,,,,,,1668,,,214,,,
,,2.99,,,,,,,1669,,,214,,,
,,0.99,,,,,,,1669,,,214,,,
,,0.99,,,,,,,1669,,,214,,,
,,4.99,,,,,,,1669,,,214,,,
,,4.99,,,,,,,1670,,,214,,,
,,0.99,,,,,,,1670,,,214,,,
,,2.99,,,,,,,1670,,,214,,,
,,2.99,,,,,,,1670,,,214,,,
,,4.99,,,,,,,1671,,,215,,,
,,4.99,,,,,,,1671,,,215,,,
,,4.99,,,,,,,1671,,,215,,,
,,4.99,,,,,,,1671,,,215,,,
,,4.99,,,,,,,1672,,,215,,,
,,2.99,,,,,,,1672,,,215,,,
,,2.99,,,,,,,1672,,,215,,,
,,2.99,,,,,,,1672,,,215,,,
,,8.99,,,,,,,1673,,,215,,,
,,2.99,,,,,,,1673,,,215,,,
,,8.99,,,,,,,1674,,,215,,,
,,1.99,,,,,,,1674,,,215,,,
,,2.99,,,,,,,1675,,,215,,,
,,0.99,,,,,,,1675,,,215,,,
,,4.99,,,,,,,1675,,,215,,,
,,2.99,,,,,,,1675,,,215,,,
,,2.99,,,,,,,1675,,,215,,,
,,1.99,,,,,,,1676,,,215,,,
,,0.99,,,,,,,1676,,,215,,,
,,0.99,,,,,,,1676,,,215,,,
,,4.99,,,,,,,1676,,,215,,,
,,2.99,,,,,,,1677,,,215,,,
,,2.99,,,,,,,1677,,,215,,,
,,2.99,,,,,,,1677,,,215,,,
,,0.99,,,,,,,1677,,,215,,,
,,0.99,,,,,,,1677,,,215,,,
,,4.99,,,,,,,1678,,,216,,,
,,6.99,,,,,,,1678,,,216,,,
,,0.99,,,,,,,1679,,,216,,,
,,3.99,,,,,,,1679,,,216,,,
,,0.99,,,,,,,1679,,,216,,,
,,2.99,,,,,,,1680,,,216,,,
,,2.99,,,,,,,1680,,,216,,,
,,6.99,,,,,,,1680,,,216,,,
,,7.99,,,,,,,1681,,,216,,,
,,4.99,,,,,,,1681,,,216,,,
,,8.99,,,,,,,1681,,,216,,,
,,0.99,,,,,,,1681,,,216,,,
,,4.99,,,,,,,1681,,,216,,,
,,0.99,,,,,,,1682,,,216,,,
,,7.99,,,,,,,1682,,,216,,,
,,0.99,,,,,,,1683,,,216,,,
,,2.99,,,,,,,1683,,,216,,,
,,4.99,,,,,,,1683,,,216,,,
,,4.99,,,,,,,1684,,,216,,,
,,2.99,,,,,,,1684,,,216,,,
,,4.99,,,,,,,1684,,,216,,,
,,5.98,,,,,,,1684,,,216,,,
,,0,,,,,,,1684,,,216,,,
,,2.99,,,,,,,1685,,,217,,,
,,8.99,,,,,,,1685,,,217,,,
,,2.99,,,,,,,1685,,,217,,,
,,6.99,,,,,,,1686,,,217,,,
,,4.99,,,,,,,1686,,,217,,,
,,2.99,,,,,,,1686,,,217,,,
,,3.99,,,,,,,1686,,,217,,,
,,4.99,,,,,,,1686,,,217,,,
,,2.99,,,,,,,1687,,,217,,,
,,4.99,,,,,,,1687,,,217,,,
,,0.99,,,,,,,1687,,,217,,,
,,2.99,,,,,,,1687,,,217,,,
,,6.99,,,,,,,1688,,,217,,,
,,2.99,,,,,,,1688,,,217,,,
,,5.99,,,,,,,1688,,,217,,,
,,6.99,,,,,,,1688,,,217,,,
,,2.99,,,,,,,1688,,,217,,,
,,2.99,,,,,,,1689,,,217,,,
,,4.99,,,,,,,1689,,,217,,,
,,4.99,,,,,,,1689,,,217,,,
,,4.99,,,,,,,1689,,,217,,,
,,0.99,,,,,,,1689,,,217,,,
,,2.99,,,,,,,1690,,,217,,,
,,2.99,,,,,,,1690,,,218,,,
,,0.99,,,,,,,1690,,,218,,,
,,0.99,,,,,,,1690,,,218,,,
,,6.99,,,,,,,1691,,,218,,,
,,0.99,,,,,,,1691,,,218,,,
,,0.99,,,,,,,1691,,,218,,,
,,4.99,,,,,,,1691,,,218,,,
,,8.99,,,,,,,1691,,,218,,,
,,6.99,,,,,,,1692,,,218,,,
,,6.99,,,,,,,1692,,,218,,,
,,0.99,,,,,,,1692,,,218,,,
,,2.99,,,,,,,1693,,,218,,,
,,2.99,,,,,,,1693,,,218,,,
,,0.99,,,,,,,1693,,,218,,,
,,5.99,,,,,,,1694,,,218,,,
,,5.99,,,,,,,1694,,,218,,,
,,4.99,,,,,,,1694,,,218,,,
,,0.99,,,,,,,1695,,,218,,,
,,0.99,,,,,,,1695,,,219,,,
,,3.99,,,,,,,1695,,,219,,,
,,0.99,,,,,,,1695,,,219,,,
,,0.99,,,,,,,1696,,,219,,,
,,7.99,,,,,,,1696,,,219,,,
,,0.99,,,,,,,1696,,,219,,,
,,4.99,,,,,,,1696,,,219,,,
,,4.99,,,,,,,1697,,,219,,,
,,7.99,,,,,,,1697,,,219,,,
,,4.99,,,,,,,1697,,,219,,,
,,2.99,,,,,,,1697,,,219,,,
,,1.99,,,,,,,1697,,,219,,,
,,2.99,,,,,,,1698,,,219,,,
,,5.99,,,,,,,1698,,,219,,,
,,0.99,,,,,,,1699,,,219,,,
,,4.99,,,,,,,1699,,,219,,,
,,6.99,,,,,,,1699,,,219,,,
,,4.99,,,,,,,1699,,,219,,,
,,2.99,,,,,,,1699,,,219,,,
,,0.99,,,,,,,1700,,,219,,,
,,4.99,,,,,,,1700,,,219,,,
,,0.99,,,,,,,1700,,,219,,,
,,5.99,,,,,,,1700,,,219,,,
,,4.99,,,,,,,1701,,,219,,,
,,4.99,,,,,,,1701,,,219,,,
,,4.99,,,,,,,1701,,,219,,,
,,0.99,,,,,,,1701,,,220,,,
,,3.99,,,,,,,1701,,,220,,,
,,0.99,,,,,,,1702,,,220,,,
,,2.99,,,,,,,1702,,,220,,,
,,2.99,,,,,,,1702,,,220,,,
,,2.99,,,,,,,1703,,,220,,,
,,0.99,,,,,,,1703,,,220,,,
,,0.99,,,,,,,1703,,,220,,,
,,8.99,,,,,,,1704,,,220,,,
,,9.99,,,,,,,1704,,,220,,,
,,2.99,,,,,,,1704,,,220,,,
,,4.99,,,,,,,1705,,,220,,,
,,7.99,,,,,,,1705,,,220,,,
,,10.99,,,,,,,1706,,,220,,,
,,2.99,,,,,,,1706,,,220,,,
,,4.99,,,,,,,1706,,,220,,,
,,4.99,,,,,,,1707,,,220,,,
,,0.99,,,,,,,1707,,,220,,,
,,3.99,,,,,,,1707,,,220,,,
,,4.99,,,,,,,1708,,,220,,,
,,2.99,,,,,,,1708,,,220,,,
,,4.99,,,,,,,1708,,,220,,,
,,4.99,,,,,,,1708,,,220,,,
,,2.99,,,,,,,1708,,,220,,,
,,2.99,,,,,,,1709,,,220,,,
,,4.99,,,,,,,1709,,,220,,,
,,4.99,,,,,,,1710,,,220,,,
,,4.99,,,,,,,1710,,,221,,,
,,0.99,,,,,,,1711,,,221,,,
,,2.99,,,,,,,1711,,,221,,,
,,2.99,,,,,,,1711,,,221,,,
,,10.99,,,,,,,1711,,,221,,,
,,5.99,,,,,,,1711,,,221,,,
,,4.99,,,,,,,1712,,,221,,,
,,4.99,,,,,,,1712,,,221,,,
,,6.99,,,,,,,1713,,,221,,,
,,5.99,,,,,,,1713,,,221,,,
,,5.99,,,,,,,1713,,,221,,,
,,2.99,,,,,,,1713,,,221,,,
,,0.99,,,,,,,1713,,,221,,,
,,8.99,,,,,,,1714,,,221,,,
,,0.99,,,,,,,1714,,,221,,,
,,6.99,,,,,,,1714,,,221,,,
,,7.99,,,,,,,1714,,,221,,,
,,0.99,,,,,,,1714,,,221,,,
,,4.99,,,,,,,1715,,,221,,,
,,4.99,,,,,,,1715,,,221,,,
,,2.99,,,,,,,1715,,,221,,,
,,0.99,,,,,,,1715,,,221,,,
,,3.99,,,,,,,1716,,,221,,,
,,2.99,,,,,,,1716,,,221,,,
,,5.99,,,,,,,1716,,,221,,,
,,0.99,,,,,,,1717,,,221,,,
,,7.99,,,,,,,1717,,,221,,,
,,8.99,,,,,,,1717,,,221,,,
,,6.99,,,,,,,1717,,,222,,,
,,4.99,,,,,,,1717,,,222,,,
,,0.99,,,,,,,1718,,,222,,,
,,3.99,,,,,,,1718,,,222,,,
,,2.99,,,,,,,1718,,,222,,,
,,8.99,,,,,,,1718,,,222,,,
,,6.99,,,,,,,1718,,,222,,,
,,8.99,,,,,,,1719,,,222,,,
,,3.99,,,,,,,1719,,,222,,,
,,6.99,,,,,,,1719,,,222,,,
,,5.99,,,,,,,1720,,,222,,,
,,2.99,,,,,,,1720,,,222,,,
,,0.99,,,,,,,1720,,,222,,,
,,0.99,,,,,,,1720,,,222,,,
,,1.99,,,,,,,1720,,,222,,,
,,6.99,,,,,,,1721,,,222,,,
,,4.99,,,,,,,1721,,,222,,,
,,1.99,,,,,,,1721,,,222,,,
,,2.99,,,,,,,1721,,,222,,,
,,2.99,,,,,,,1721,,,222,,,
,,2.99,,,,,,,1722,,,222,,,
,,2.99,,,,,,,1722,,,223,,,
,,5.99,,,,,,,1722,,,223,,,
,,4.99,,,,,,,1723,,,223,,,
,,5.99,,,,,,,1723,,,223,,,
,,0.99,,,,,,,1724,,,223,,,
,,4.99,,,,,,,1724,,,223,,,
,,2.99,,,,,,,1724,,,223,,,
,,5.99,,,,,,,1725,,,223,,,
,,3.99,,,,,,,1725,,,223,,,
,,7.99,,,,,,,1725,,,223,,,
,,4.99,,,,,,,1725,,,223,,,
,,5.99,,,,,,,1726,,,223,,,
,,0.99,,,,,,,1726,,,223,,,
,,4.99,,,,,,,1726,,,223,,,
,,7.99,,,,,,,1726,,,223,,,
,,5.99,,,,,,,1727,,,223,,,
,,2.99,,,,,,,1727,,,223,,,
,,7.99,,,,,,,1728,,,224,,,
,,2.99,,,,,,,1728,,,224,,,
,,4.99,,,,,,,1728,,,224,,,
,,2.99,,,,,,,1728,,,224,,,
,,3.99,,,,,,,1729,,,224,,,
,,2.99,,,,,,,1729,,,224,,,
,,4.99,,,,,,,1729,,,224,,,
,,2.99,,,,,,,1729,,,224,,,
,,0.99,,,,,,,1730,,,224,,,
,,2.99,,,,,,,1730,,,224,,,
,,4.99,,,,,,,1730,,,224,,,
,,0.99,,,,,,,1731,,,224,,,
,,0.99,,,,,,,1731,,,224,,,
,,4.99,,,,,,,1731,,,224,,,
,,2.99,,,,,,,1731,,,224,,,
,,4.99,,,,,,,1731,,,224,,,
,,0.99,,,,,,,1732,,,224,,,
,,5.99,,,,,,,1732,,,224,,,
,,5.99,,,,,,,1732,,,224,,,
,,2.99,,,,,,,1733,,,224,,,
,,0.99,,,,,,,1733,,,224,,,
,,1.99,,,,,,,1733,,,224,,,
,,4.99,,,,,,,1734,,,225,,,
,,3.99,,,,,,,1734,,,225,,,
,,7.99,,,,,,,1734,,,225,,,
,,4.99,,,,,,,1735,,,225,,,
,,7.99,,,,,,,1735,,,225,,,
,,7.99,,,,,,,1735,,,225,,,
,,2.99,,,,,,,1736,,,225,,,
,,4.99,,,,,,,1736,,,225,,,
,,2.99,,,,,,,1736,,,225,,,
,,2.99,,,,,,,1736,,,225,,,
,,2.99,,,,,,,1736,,,225,,,
,,3.99,,,,,,,1737,,,225,,,
,,2.99,,,,,,,1737,,,225,,,
,,4.99,,,,,,,1737,,,225,,,
,,6.99,,,,,,,1738,,,225,,,
,,7.99,,,,,,,1738,,,225,,,
,,4.99,,,,,,,1738,,,225,,,
,,4.99,,,,,,,1738,,,225,,,
,,2.99,,,,,,,1739,,,225,,,
,,2.99,,,,,,,1739,,,225,,,
,,2.99,,,,,,,1739,,,225,,,
,,1.99,,,,,,,1739,,,225,,,
,,0.99,,,,,,,1740,,,225,,,
,,5.99,,,,,,,1740,,,225,,,
,,4.99,,,,,,,1740,,,225,,,
,,5.99,,,,,,,1741,,,225,,,
,,2.99,,,,,,,1741,,,226,,,
,,4.99,,,,,,,1741,,,226,,,
,,4.99,,,,,,,1741,,,226,,,
,,4.99,,,,,,,1742,,,226,,,
,,2.99,,,,,,,1742,,,226,,,
,,2.99,,,,,,,1742,,,226,,,
,,9.99,,,,,,,1743,,,226,,,
,,5.99,,,,,,,1743,,,226,,,
,,3.99,,,,,,,1744,,,226,,,
,,2.99,,,,,,,1744,,,226,,,
,,2.99,,,,,,,1744,,,226,,,
,,1.99,,,,,,,1744,,,226,,,
,,6.99,,,,,,,1744,,,226,,,
,,4.99,,,,,,,1745,,,226,,,
,,0.99,,,,,,,1745,,,226,,,
,,0.99,,,,,,,1745,,,226,,,
,,4.99,,,,,,,1746,,,226,,,
,,2.99,,,,,,,1746,,,226,,,
,,4.99,,,,,,,1746,,,226,,,
,,2.99,,,,,,,1746,,,226,,,
,,5.99,,,,,,,1747,,,226,,,
,,4.99,,,,,,,1747,,,227,,,
,,3.99,,,,,,,1748,,,227,,,
,,2.99,,,,,,,1748,,,227,,,
,,1.99,,,,,,,1748,,,227,,,
,,6.99,,,,,,,1748,,,227,,,
,,0.99,,,,,,,1749,,,227,,,
,,5.99,,,,,,,1749,,,227,,,
,,2.99,,,,,,,1749,,,227,,,
,,4.99,,,,,,,1749,,,227,,,
,,2.99,,,,,,,1750,,,227,,,
,,3.99,,,,,,,1750,,,227,,,
,,7.99,,,,,,,1750,,,227,,,
,,2.99,,,,,,,1750,,,227,,,
,,0.99,,,,,,,1751,,,227,,,
,,0.99,,,,,,,1751,,,227,,,
,,4.99,,,,,,,1751,,,227,,,
,,2.99,,,,,,,1752,,,227,,,
,,2.99,,,,,,,1752,,,227,,,
,,3.99,,,,,,,1753,,,227,,,
,,0.99,,,,,,,1753,,,227,,,
,,4.99,,,,,,,1753,,,227,,,
,,0.99,,,,,,,1754,,,227,,,
,,4.99,,,,,,,1754,,,227,,,
,,4.99,,,,,,,1755,,,227,,,
,,4.99,,,,,,,1755,,,228,,,
,,0.99,,,,,,,1755,,,228,,,
,,3.99,,,,,,,1755,,,228,,,
,,2.99,,,,,,,1756,,,228,,,
,,2.99,,,,,,,1756,,,228,,,
,,3.99,,,,,,,1756,,,228,,,
,,0.99,,,,,,,1757,,,228,,,
,,8.99,,,,,,,1757,,,228,,,
,,6.99,,,,,,,1757,,,228,,,
,,0.99,,,,,,,1757,,,228,,,
,,3.99,,,,,,,1757,,,228,,,
,,4.99,,,,,,,1758,,,228,,,
,,0.99,,,,,,,1758,,,228,,,
,,2.99,,,,,,,1758,,,228,,,
,,4.99,,,,,,,1758,,,228,,,
,,0.99,,,,,,,1758,,,228,,,
,,1.99,,,,,,,1759,,,228,,,
,,2.99,,,,,,,1759,,,228,,,
,,8.99,,,,,,,1760,,,228,,,
,,0.99,,,,,,,1760,,,228,,,
,,2.99,,,,,,,1760,,,228,,,
,,4.99,,,,,,,1760,,,228,,,
,,0.99,,,,,,,1761,,,228,,,
,,2.99,,,,,,,1761,,,228,,,
,,4.99,,,,,,,1761,,,228,,,
,,3.98,,,,,,,1761,,,228,,,
,,0,,,,,,,1761,,,228,,,
,,4.99,,,,,,,1762,,,229,,,
,,0.99,,,,,,,1762,,,229,,,
,,7.99,,,,,,,1763,,,229,,,
,,0.99,,,,,,,1763,,,229,,,
,,4.99,,,,,,,1763,,,229,,,
,,2.99,,,,,,,1763,,,229,,,
,,4.99,,,,,,,1763,,,229,,,
,,0.99,,,,,,,1764,,,229,,,
,,2.99,,,,,,,1764,,,229,,,
,,4.99,,,,,,,1764,,,229,,,
,,4.99,,,,,,,1764,,,229,,,
,,2.99,,,,,,,1765,,,229,,,
,,0.99,,,,,,,1765,,,229,,,
,,5.99,,,,,,,1765,,,229,,,
,,0.99,,,,,,,1765,,,229,,,
,,7.99,,,,,,,1766,,,229,,,
,,3.99,,,,,,,1766,,,229,,,
,,4.99,,,,,,,1766,,,229,,,
,,2.99,,,,,,,1767,,,229,,,
,,0.99,,,,,,,1767,,,229,,,
,,4.99,,,,,,,1768,,,229,,,
,,5.99,,,,,,,1768,,,229,,,
,,4.99,,,,,,,1768,,,229,,,
,,2.99,,,,,,,1768,,,229,,,
,,0.99,,,,,,,1769,,,229,,,
,,0.99,,,,,,,1769,,,230,,,
,,4.99,,,,,,,1769,,,230,,,
,,3.99,,,,,,,1769,,,230,,,
,,4.99,,,,,,,1769,,,230,,,
,,0.99,,,,,,,1770,,,230,,,
,,8.99,,,,,,,1770,,,230,,,
,,0.99,,,,,,,1771,,,230,,,
,,0.99,,,,,,,1771,,,230,,,
,,3.99,,,,,,,1772,,,230,,,
,,0.99,,,,,,,1772,,,230,,,
,,4.99,,,,,,,1772,,,230,,,
,,0.99,,,,,,,1772,,,230,,,
,,2.99,,,,,,,1773,,,230,,,
,,4.99,,,,,,,1773,,,230,,,
,,2.99,,,,,,,1774,,,230,,,
,,4.99,,,,,,,1774,,,230,,,
,,4.99,,,,,,,1774,,,230,,,
,,4.99,,,,,,,1774,,,230,,,
,,0.99,,,,,,,1774,,,230,,,
,,2.99,,,,,,,1775,,,230,,,
,,3.99,,,,,,,1775,,,230,,,
,,3.99,,,,,,,1776,,,230,,,
,,9.99,,,,,,,1776,,,230,,,
,,2.99,,,,,,,1776,,,230,,,
,,5.99,,,,,,,1776,,,230,,,
,,5.99,,,,,,,1777,,,230,,,
,,2.99,,,,,,,1777,,,230,,,
,,1.99,,,,,,,1777,,,230,,,
,,7.99,,,,,,,1777,,,230,,,
,,0.99,,,,,,,1777,,,230,,,
,,0.99,,,,,,,1778,,,230,,,
,,5.99,,,,,,,1778,,,230,,,
,,2.99,,,,,,,1778,,,230,,,
,,5.99,,,,,,,1779,,,231,,,
,,6.99,,,,,,,1779,,,231,,,
,,8.99,,,,,,,1779,,,231,,,
,,0.99,,,,,,,1779,,,231,,,
,,9.99,,,,,,,1780,,,231,,,
,,2.99,,,,,,,1780,,,231,,,
,,0.99,,,,,,,1780,,,231,,,
,,0.99,,,,,,,1780,,,231,,,
,,2.99,,,,,,,1780,,,231,,,
,,5.99,,,,,,,1781,,,231,,,
,,0.99,,,,,,,1781,,,231,,,
,,1.99,,,,,,,1781,,,231,,,
,,0.99,,,,,,,1781,,,231,,,
,,5.99,,,,,,,1781,,,231,,,
,,2.99,,,,,,,1782,,,231,,,
,,2.99,,,,,,,1782,,,231,,,
,,7.99,,,,,,,1782,,,231,,,
,,5.99,,,,,,,1783,,,231,,,
,,0.99,,,,,,,1783,,,231,,,
,,8.99,,,,,,,1783,,,231,,,
,,3.99,,,,,,,1783,,,231,,,
,,6.99,,,,,,,1783,,,231,,,
,,0.99,,,,,,,1784,,,231,,,
,,4.99,,,,,,,1784,,,231,,,
,,2.99,,,,,,,1785,,,231,,,
,,3.99,,,,,,,1785,,,231,,,
,,4.99,,,,,,,1785,,,232,,,
,,3.99,,,,,,,1785,,,232,,,
,,0.99,,,,,,,1785,,,232,,,
,,8.99,,,,,,,1786,,,232,,,
,,5.99,,,,,,,1786,,,232,,,
,,2.99,,,,,,,1786,,,232,,,
,,5.99,,,,,,,1786,,,232,,,
,,4.99,,,,,,,1786,,,232,,,
,,0.99,,,,,,,1787,,,232,,,
,,2.99,,,,,,,1787,,,232,,,
,,2.99,,,,,,,1787,,,232,,,
,,2.99,,,,,,,1787,,,232,,,
,,4.99,,,,,,,1788,,,232,,,
,,4.99,,,,,,,1788,,,232,,,
,,0.99,,,,,,,1788,,,232,,,
,,10.99,,,,,,,1789,,,232,,,
,,2.99,,,,,,,1789,,,232,,,
,,2.99,,,,,,,1789,,,232,,,
,,6.99,,,,,,,1789,,,232,,,
,,0.99,,,,,,,1789,,,232,,,
,,2.99,,,,,,,1790,,,232,,,
,,2.99,,,,,,,1790,,,232,,,
,,0.99,,,,,,,1790,,,232,,,
,,0.99,,,,,,,1790,,,232,,,
,,2.99,,,,,,,1791,,,232,,,
,,2.99,,,,,,,1791,,,233,,,
,,2.99,,,,,,,1791,,,233,,,
,,2.99,,,,,,,1792,,,233,,,
,,4.99,,,,,,,1792,,,233,,,
,,2.99,,,,,,,1792,,,233,,,
,,5.99,,,,,,,1793,,,233,,,
,,4.99,,,,,,,1793,,,233,,,
,,5.99,,,,,,,1794,,,233,,,
,,2.99,,,,,,,1794,,,233,,,
,,4.99,,,,,,,1795,,,233,,,
,,2.99,,,,,,,1795,,,233,,,
,,8.99,,,,,,,1795,,,233,,,
,,4.99,,,,,,,1795,,,233,,,
,,5.99,,,,,,,1795,,,233,,,
,,2.99,,,,,,,1796,,,233,,,
,,0.99,,,,,,,1796,,,233,,,
,,0.99,,,,,,,1797,,,233,,,
,,4.99,,,,,,,1797,,,233,,,
,,5.99,,,,,,,1797,,,233,,,
,,2.99,,,,,,,1798,,,233,,,
,,2.99,,,,,,,1798,,,233,,,
,,1.99,,,,,,,1798,,,233,,,
,,0.99,,,,,,,1798,,,233,,,
,,4.99,,,,,,,1799,,,234,,,
,,3.99,,,,,,,1799,,,234,,,
,,0.99,,,,,,,1799,,,234,,,
,,2.99,,,,,,,1799,,,234,,,
,,5.99,,,,,,,1799,,,234,,,
,,4.99,,,,,,,1800,,,234,,,
,,5.99,,,,,,,1800,,,234,,,
,,6.99,,,,,,,1800,,,234,,,
,,4.99,,,,,,,1800,,,234,,,
,,0.99,,,,,,,1800,,,234,,,
,,7.99,,,,,,,1801,,,234,,,
,,5.99,,,,,,,1801,,,234,,,
,,0.99,,,,,,,1801,,,234,,,
,,6.99,,,,,,,1801,,,234,,,
,,7.99,,,,,,,1801,,,234,,,
,,4.99,,,,,,,1802,,,234,,,
,,0.99,,,,,,,1802,,,234,,,
,,3.99,,,,,,,1803,,,234,,,
,,3.99,,,,,,,1803,,,234,,,
,,0.99,,,,,,,1804,,,234,,,
,,4.99,,,,,,,1804,,,234,,,
,,5.99,,,,,,,1805,,,234,,,
,,2.99,,,,,,,1805,,,234,,,
,,5.99,,,,,,,1805,,,234,,,
,,2.99,,,,,,,1806,,,234,,,
,,0.99,,,,,,,1806,,,234,,,
,,2.99,,,,,,,1806,,,235,,,
,,0.99,,,,,,,1806,,,235,,,
,,4.99,,,,,,,1807,,,235,,,
,,0.99,,,,,,,1807,,,235,,,
,,2.99,,,,,,,1808,,,235,,,
,,6.99,,,,,,,1808,,,235,,,
,,4.99,,,,,,,1808,,,235,,,
,,2.99,,,,,,,1809,,,235,,,
,,4.99,,,,,,,1809,,,235,,,
,,2.99,,,,,,,1810,,,235,,,
,,4.99,,,,,,,1810,,,235,,,
,,4.99,,,,,,,1810,,,235,,,
,,0.99,,,,,,,1810,,,235,,,
,,6.99,,,,,,,1810,,,235,,,
,,0.99,,,,,,,1811,,,235,,,
,,5.99,,,,,,,1811,,,235,,,
,,6.99,,,,,,,1811,,,235,,,
,,3.99,,,,,,,1811,,,235,,,
,,0.99,,,,,,,1811,,,235,,,
,,2.99,,,,,,,1812,,,235,,,
,,4.99,,,,,,,1812,,,235,,,
,,0.99,,,,,,,1813,,,235,,,
,,0.99,,,,,,,1813,,,235,,,
,,3.99,,,,,,,1814,,,235,,,
,,6.99,,,,,,,1814,,,235,,,
,,2.99,,,,,,,1814,,,236,,,
,,2.99,,,,,,,1814,,,236,,,
,,2.99,,,,,,,1814,,,236,,,
,,0.99,,,,,,,1815,,,236,,,
,,5.99,,,,,,,1815,,,236,,,
,,8.99,,,,,,,1815,,,236,,,
,,6.99,,,,,,,1815,,,236,,,
,,2.99,,,,,,,1815,,,236,,,
,,3.99,,,,,,,1816,,,236,,,
,,4.99,,,,,,,1816,,,236,,,
,,2.99,,,,,,,1816,,,236,,,
,,0.99,,,,,,,1816,,,236,,,
,,4.99,,,,,,,1816,,,236,,,
,,4.99,,,,,,,1817,,,236,,,
,,0.99,,,,,,,1817,,,236,,,
,,2.99,,,,,,,1817,,,236,,,
,,3.99,,,,,,,1817,,,236,,,
,,3.99,,,,,,,1817,,,236,,,
,,0.99,,,,,,,1818,,,236,,,
,,4.99,,,,,,,1818,,,236,,,
,,2.99,,,,,,,1818,,,236,,,
,,4.99,,,,,,,1818,,,236,,,
,,4.99,,,,,,,1818,,,236,,,
,,0.99,,,,,,,1819,,,236,,,
,,5.99,,,,,,,1819,,,236,,,
,,4.99,,,,,,,1819,,,236,,,
,,2.99,,,,,,,1819,,,236,,,
,,2.99,,,,,,,1819,,,236,,,
,,5.99,,,,,,,1820,,,236,,,
,,2.99,,,,,,,1820,,,236,,,
,,4.99,,,,,,,1820,,,236,,,
,,6.99,,,,,,,1820,,,236,,,
,,3.99,,,,,,,1821,,,236,,,
,,5.99,,,,,,,1821,,,236,,,
,,4.99,,,,,,,1821,,,236,,,
,,2.99,,,,,,,1821,,,236,,,
,,2.99,,,,,,,1822,,,236,,,
,,7.99,,,,,,,1822,,,236,,,
,,4.99,,,,,,,1822,,,236,,,
,,7.99,,,,,,,1822,,,236,,,
,,4.99,,,,,,,1822,,,236,,,
,,0.99,,,,,,,1823,,,236,,,
,,0.99,,,,,,,1823,,,237,,,
,,4.99,,,,,,,1823,,,237,,,
,,0.99,,,,,,,1823,,,237,,,
,,0.99,,,,,,,1824,,,237,,,
,,4.99,,,,,,,1824,,,237,,,
,,2.99,,,,,,,1824,,,237,,,
,,2.99,,,,,,,1824,,,237,,,
,,4.99,,,,,,,1824,,,237,,,
,,4.99,,,,,,,1825,,,237,,,
,,2.99,,,,,,,1825,,,237,,,
,,3.99,,,,,,,1825,,,237,,,
,,4.99,,,,,,,1825,,,237,,,
,,8.99,,,,,,,1825,,,237,,,
,,2.99,,,,,,,1826,,,237,,,
,,2.99,,,,,,,1826,,,237,,,
